record_id,parent_record_id,composition_group_id,donor,domain,value_unit,source_granularity,value_form,separability,donor_path,donor_sha256,donor_symbol,transformation,mapping_topology,disposition,decision_rationale,target_capability,target_nodes,invariant,negative_invariant,test_node,operator_surface,migration_impact,license_note,risk_tier,dependency_record_ids,evidence_confidence,validation_status
HVC-GEOSITE-001,n/a,HVC-DOMAIN-ROUTING,luminet-baseline-d73453f,domain-routing,dynamic exact/suffix routing overrides,module,executable-behaviour,standalone,server/internal/proxy/geosite_routing_matcher.go,7c8facb577cdb4f61694809def5b9f6a6be9901d5f0c7f008e37a2f55dc64041,GeoSiteMatcher,extraction,one-to-one,reference-only,Dynamic exact/suffix override behavior remains valuable historical evidence but has no product consumer after routing convergence; preserve it outside active source rather than advertise a dormant runtime module.,domain routing overrides,labs/daemon/routing-alternates/domain_dynamic_matcher.go#DynamicMatcher,Blocked rules precede direct rules and exact/suffix matching remains case-insensitive.,The promotion must not replace or weaken the embedded domain-list router used by the live API.,labs/daemon/routing-alternates/domain_dynamic_matcher_test.go#TestDynamicMatcherPreservesHistoricalOverrideSemantics,governed non-product corpus,No persisted state or runtime authority migration; unused API singleton removed.,Repository source provenance retained in Git baseline; no external donor code introduced.,low,n/a,high,reviewed
HVC-GEOSITE-002,HVC-GEOSITE-001,HVC-DOMAIN-ROUTING,luminet-baseline-d73453f,domain-routing,orphan GeoSite API singleton,module,runtime-wiring,standalone,server/internal/api/handlers_warp_geosite.go,f4aa6d936457d754a76c53cb4fe7a2b3724ecfab5f596373c097819e9d9dda8a,globalGeoSiteMatcher,simplification,one-to-one,superseded,The singleton was constructed but never read; unique matcher behavior is owned and tested by networking/routing so retaining an unused process object adds no capability.,API routing state,src/apps/daemon/internal/adapters/api/handlers_warp_geosite.go#globalDomainRouter,The geosite-match endpoint continues to use the canonical embedded domain router exactly as before.,No dormant matcher instance may become an accidental second routing authority.,labs/daemon/routing-alternates/domain_dynamic_matcher_test.go#TestDynamicMatcherBlockedOverridesDirect,POST /api/system/geosite-match,Removes only unused in-memory allocation; no request semantics change.,Repository-native code.,low,HVC-GEOSITE-001,high,statically-validated
HVC-PROVIDER-001,n/a,HVC-PROVIDER-CANONICAL,luminet-baseline-d73453f,provider-classification,mutable CIDR payload extension index,primitive,executable-behaviour,standalone,server/internal/proxy/provider_corpus.go,0eb39eee5170f150c19f8ee6296d8a0d28019d29ab589f184b0e58f6e4a6f853,CorporateNetworkIndex;RadixNode,recomposition,many-to-one,superseded,Final deep-module audit proved the mutable provider radix compatibility surface has no production consumer. Retire it from active source; preserve provenance and retirement evidence rather than maintain a second provider-classification interface.,provider prefix lookup and compatibility extensions,governance/topology/deep-module-prune.json,Historical Insert and longest-prefix payload behavior remains available without creating a second built-in provider corpus authority.,Proxy must not own a second radix implementation or use the mutable index as authoritative provider classification.,governance/topology/deep-module-prune.json,internal provider library,Type aliases preserve source-level compatibility; no persisted state migration.,Repository-native code; source provenance remains in Git baseline.,medium,n/a,high,statically-validated
HVC-PROVIDER-002,HVC-PROVIDER-001,HVC-PROVIDER-CANONICAL,luminet-baseline-d73453f,provider-classification,scanner duplicate CIDR extension index,primitive,executable-behaviour,standalone,server/internal/scanner/network_index.go,c39578516d04578bcdc95671e20ad57692dca86cda4777d3540cae81212013d4,CorporateNetworkIndex;RadixNode,deduplication into canonical owner,many-to-one,superseded,Final deep-module audit proved the mutable provider radix compatibility surface has no production consumer. Retire it from active source; preserve provenance and retirement evidence rather than maintain a second provider-classification interface.,provider prefix lookup and scanner compatibility,governance/topology/deep-module-prune.json,Scanner callers retain the historical mutable extension type and canonical provider classification behavior.,Scanner must not recreate its own built-in provider trie or duplicate radix implementation.,governance/topology/deep-module-prune.json,historical scanner Go API,Type alias only; no persisted state or network behavior change.,Repository-native code.,medium,HVC-PROVIDER-001,high,statically-validated
HVC-PROVIDER-003,n/a,HVC-PROVIDER-CANONICAL,luminet-baseline-d73453f,provider-classification,provider observation payload and mapping,primitive,data-contract plus mapping,standalone,server/internal/proxy/provider_corpus.go,0eb39eee5170f150c19f8ee6296d8a0d28019d29ab589f184b0e58f6e4a6f853,ProviderObservation;ObserveProvider,recomposition,many-to-one,superseded,Proxy and scanner once duplicated an observation payload. Later zero-consumer proof retired that compatibility payload; internal/provider now exposes the live immutable corpus through Service.Lookup and Status only.,canonical provider lookup,src/apps/daemon/internal/analysis/provider/corpus.go#Service.Lookup;src/apps/daemon/internal/analysis/provider/corpus.go#Service.Status,The same active corpus deterministically maps an IP to the same provider Match and reports the same corpus identity/freshness metadata.,Compatibility packages must not recreate provider observation payloads or independent Match-to-observation mapping.,src/apps/daemon/internal/analysis/provider/corpus_test.go#TestServiceActivatesBuiltinAndReportsStaleMetadata,provider corpus lookup/status owner,Historical observation JSON/accessor compatibility retired after zero-consumer proof; live provider corpus routes use status and lookup.,Repository-native code.,medium,n/a,high,verified
HVC-PROVIDER-004,HVC-PROVIDER-003,HVC-PROVIDER-CANONICAL,luminet-baseline-d73453f,provider-classification,scanner provider observation duplicate,primitive,data-contract plus mapping,standalone,server/internal/scanner/network_index.go,c39578516d04578bcdc95671e20ad57692dca86cda4777d3540cae81212013d4,ProviderObservation;ObserveProviderForIP,deduplication into canonical owner,many-to-one,superseded,"Scanner duplicate observation mapping was first unified, then the shared observation compatibility payload itself became zero-consumer and was retired. Scanner/provider code now consumes the canonical corpus lookup directly where needed.",canonical provider lookup,src/apps/daemon/internal/analysis/provider/corpus.go#Service.Lookup,Provider classification comes from the canonical immutable corpus lookup; no scanner-local observation mapper exists.,Scanner must not independently reshape provider Match fields into a second compatibility payload.,src/apps/daemon/internal/analysis/provider/corpus_test.go#TestBuiltinCorpusIsValidAndLookupReady,historical scanner provider compatibility,Historical observation accessor surface retired after zero-consumer proof.,Repository-native code.,low,HVC-PROVIDER-003,high,verified
HVC-LAB-W20-ACME-CERT-MANAGER-68F3B2C1,n/a,HVC-LAB-20-wave20-acme-cert-manager,luminet-baseline-d73453f,daemon-labs,acme cert manager lab capability,standalone source unit,executable-behaviour/reference implementation,standalone,server/internal/proxy/acme_cert_manager.go,68f3b2c14043fc384feca0dd33955ac068918ecfb3f2014439ce7e2c98beb7e0,AcmeCertManager;AcmeCertManager.AcmeTLSConfig;AcmeCertManager.GetCertificate;AcmeCertManager.PreflightValidate;AcmeCertManager.Renew;AcmeCertManager.Stop;AcmeCertManager.WithOnDemand;ChallengeStore;ChallengeStore.GetChallengeCert;ChallengeStore.Install;ChallengeStore.Remove;NewAcmeCertManager;NewChallengeStore;NewStealthHandler;PerDomainTLSConfig;StealthHandler;StealthHandler.IsSecret;StealthHandler.ServeHTTP,promotion to governed lab,one-to-one,reference-only,"The source carries distinct dormant implementation value but has no live production consumer. Preserve it as an intentional, catalogued lab capability without granting runtime authority; later promotion must extract only target-native value behind a canonical owner.",daemon lab capability corpus,labs/daemon/proxy/acme_cert_manager.go,The lab source remains byte-identical to its baseline object and traceable by SHA-256.,Live daemon internal packages must not import lab code directly or treat lab presence as production readiness.,n/a,labs/daemon/CAPABILITIES.csv,Path-only promotion from experiments to labs; no live runtime dependency or persisted state change.,Repository-native baseline source; no new external donor bytes introduced.,medium,n/a,high,statically-validated
HVC-LAB-W20-AD-TIER-PROXY-32AC7C19,n/a,HVC-LAB-20-wave20-ad-tier-proxy,luminet-baseline-d73453f,daemon-labs,ad tier proxy lab capability,standalone source unit,executable-behaviour/reference implementation,standalone,server/internal/proxy/ad_tier_proxy.go,32ac7c190737f2597b462bdc4eb4f4f3f85754307311892985e0d76a47a029c5,AdTierProxy;AdTierProxy.Knock;NewAdTierProxy,promotion to governed lab,one-to-one,reference-only,"The source carries distinct dormant implementation value but has no live production consumer. Preserve it as an intentional, catalogued lab capability without granting runtime authority; later promotion must extract only target-native value behind a canonical owner.",daemon lab capability corpus,labs/daemon/proxy/ad_tier_proxy.go,The lab source remains byte-identical to its baseline object and traceable by SHA-256.,Live daemon internal packages must not import lab code directly or treat lab presence as production readiness.,n/a,labs/daemon/CAPABILITIES.csv,Path-only promotion from experiments to labs; no live runtime dependency or persisted state change.,Repository-native baseline source; no new external donor bytes introduced.,medium,n/a,high,statically-validated
HVC-LAB-W20-AMNEZIA-CONFIG-6BC816C0,n/a,HVC-LAB-20-wave20-amnezia-config,luminet-baseline-d73453f,daemon-labs,amnezia config lab capability,standalone source unit,executable-behaviour/reference implementation,standalone,server/internal/proxy/amnezia_config.go,6bc816c0524a35b93c51ead0c1b14b3e662a2b3005d1abf65d88d3f1a22fa379,AmneziaConfig;AmneziaConfig.Generate;NewAmneziaConfig,promotion to governed lab,one-to-one,reference-only,"The source carries distinct dormant implementation value but has no live production consumer. Preserve it as an intentional, catalogued lab capability without granting runtime authority; later promotion must extract only target-native value behind a canonical owner.",daemon lab capability corpus,labs/daemon/proxy/amnezia_config.go,The lab source remains byte-identical to its baseline object and traceable by SHA-256.,Live daemon internal packages must not import lab code directly or treat lab presence as production readiness.,n/a,labs/daemon/CAPABILITIES.csv,Path-only promotion from experiments to labs; no live runtime dependency or persisted state change.,Repository-native baseline source; no new external donor bytes introduced.,medium,n/a,high,statically-validated
HVC-LAB-W20-ANDROID-PROXY-CLIENT-F709727A,n/a,HVC-LAB-20-wave20-android-proxy-client,luminet-baseline-d73453f,daemon-labs,android proxy client lab capability,standalone source unit,executable-behaviour/reference implementation,standalone,server/internal/proxy/android_proxy_client.go,f709727aed92f64850a88e29e896fb76f9116a7983de6ac726767f36129e7fce,NewV2RayNGPanel;V2RayNGPanel;V2RayNGPanel.GenerateConfig;V2RayNGPanel.OrchestrateFHSInstall;V2RayNGPanel.ProvisionTLS,promotion to governed lab,one-to-one,reference-only,"The source carries distinct dormant implementation value but has no live production consumer. Preserve it as an intentional, catalogued lab capability without granting runtime authority; later promotion must extract only target-native value behind a canonical owner.",daemon lab capability corpus,labs/daemon/proxy/android_proxy_client.go,The lab source remains byte-identical to its baseline object and traceable by SHA-256.,Live daemon internal packages must not import lab code directly or treat lab presence as production readiness.,n/a,labs/daemon/CAPABILITIES.csv,Path-only promotion from experiments to labs; no live runtime dependency or persisted state change.,Repository-native baseline source; no new external donor bytes introduced.,medium,n/a,high,statically-validated
