action_id,path,symbol,http_method,effect_class,safety_class,retry_attempts,reconciliation,notes
cloudflare.dns.update,src/apps/daemon/internal/integrations/provision/cloudflare.go,UpsertDNSRecord,PUT,mutation,idempotent,3,n/a,Sets the complete desired A-record state on an existing record.
cloudflare.dns.create,src/apps/daemon/internal/integrations/provision/cloudflare.go,UpsertDNSRecord,POST,mutation,reconcile-before-retry,3,findDNSRecord exact type/name/content/proxied readback,Ambiguous create is replayed only while the named record remains absent.
cloudflare.ssl.strict,src/apps/daemon/internal/integrations/provision/cloudflare.go,SetSSLModeStrict,PATCH,mutation,idempotent,3,n/a,Sets one deterministic desired SSL mode.
cloudflare.origin-certificate.create,src/apps/daemon/internal/integrations/provision/cloudflare.go,CreateOriginCertificate,POST,side-effect,single-attempt,1,n/a,Certificate issuance has no target-owned idempotency or exact readback identity.
cloudflare.worker.upload,src/apps/daemon/internal/integrations/provision/cloudflare.go,DeployWorker,PUT,mutation,idempotent,3,n/a,Named worker script PUT converges to the supplied script.
cloudflare.worker.subdomain.enable,src/apps/daemon/internal/integrations/provision/cloudflare.go,DeployWorker,POST,side-effect,single-attempt,1,n/a,POST activation semantics are not assumed idempotent without provider readback contract.
cloudflare.scanner-worker.upload,src/apps/daemon/internal/analysis/scanner/cloudflare_deployer.go,DeployWorkerScript,PUT,mutation,idempotent,3,n/a,Named worker script PUT converges to the supplied script.
ddns.duckdns.update,src/apps/daemon/internal/networking/dns/ddns_updater.go,updateDuckDNS,GET,mutation,idempotent,3,n/a,State-changing GET sets an explicit desired IP.
ddns.noip.update,src/apps/daemon/internal/networking/dns/ddns_updater.go,updateNoIP,GET,mutation,idempotent,3,n/a,State-changing GET sets an explicit desired IP.
ddns.dynu.update,src/apps/daemon/internal/networking/dns/ddns_updater.go,updateDynu,GET,mutation,idempotent,3,n/a,State-changing GET sets an explicit desired IP.
ddns.cloudflare.update,src/apps/daemon/internal/networking/dns/ddns_updater.go,updateCloudflare,PUT,mutation,idempotent,3,n/a,Record PUT sets an explicit desired DNS state.
gdrive.chunk.upload,src/apps/daemon/internal/runtime/proxy/gdrive_transport.go,SendChunk,POST,mutation,idempotent,3,pre-generated Drive file ID plus exact payload readback on HTTP 409,A single provider-generated file ID is reused across attempts; 409 is accepted only after exact content readback confirms the intended upload.
gdrive.chunk.delete,src/apps/daemon/internal/runtime/proxy/gdrive_transport.go,ReadChunk,DELETE,mutation,idempotent,3,n/a,Repeated delete preserves desired absence; cleanup remains best effort.
gdocs.chunk.upload,src/apps/daemon/internal/runtime/proxy/covert_gdocs.go,SendChunk,POST,mutation,idempotent,3,pre-generated Drive file ID plus exact payload readback on HTTP 409,A single provider-generated file ID is reused across attempts; 409 is accepted only after exact content readback confirms the intended upload.
gdocs.chunk.delete,src/apps/daemon/internal/runtime/proxy/covert_gdocs.go,ReadChunk,DELETE,mutation,idempotent,3,n/a,Repeated delete preserves desired absence; cleanup remains best effort.
warp.account.register,src/apps/daemon/internal/runtime/warp/warp.go,RegisterWarpAccountWithClient,POST,side-effect,single-attempt,1,n/a,Account/device creation cannot be reconciled from a stable target identity.
captcha.task.create,src/apps/daemon/internal/integrations/captchaclient/solver.go,SolveCaptcha,POST,side-effect,single-attempt,1,n/a,Task creation may allocate provider work or cost; duplicate creation is forbidden.
